Posted At,Job Title,Company Name,Company Link,Company Location,Job Type,Job Salary,Job Experience Level,Job Education,Job Description
Active 2 days ago·,Mechanical Engineer,Anwar Khawaja Industries (Pvt.) Limited,https://pk.indeed.com/cmp/Anwar-Khawaja-Industries-Pvt.-Limited?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6nn5ejrgh801&fromjk=163cef1c66890cd7,Sialkot,Full-time,,Entry level,No specific education required
Active 3 days ago·,Female Fresh Graduate BSCS,Software House,https://pk.indeed.com/cmp/Istepc-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6o053jtul800&fromjk=fd62b2a92168f0fa,Lahore,"Fresher
Full-time","Rs 50,000 a month",No experience required,No specific education required
Posted 30+ days ago·,IT INTERN - Karachi,Smollan Pakistan,https://pk.indeed.com/cmp/Smollan-Pakistan?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6o60ujrj3800&fromjk=777d1f3c8a64d16d,Karachi,Part-time,,No experience required,No specific education required
Active 2 days ago·,Intern / Junior Engineer - QA,Intelligenes,https://pk.indeed.com/cmp/Intelligenes-2?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6ofrjjl0v800&fromjk=203c696a0deaba7b,Karachi,Full-time,"Rs 30,000",No experience required,No specific education required
Active 2 days ago·,fabricator for pipe & metal products,mahenti industries,https://pk.indeed.com/cmp/Mahenti-Industries?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6olociekh800&fromjk=b9db8719f5431ef5,Karachi,Full-time,"Rs 30,000",No experience required,No specific education required
Active 2 days ago·,Android Developer - Paid Internship,saam developers,https://pk.indeed.com/cmp/Saam-Developers-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6opmhjl0v801&fromjk=c5ff96b29dbdd6fe,Lahore,Internship,"Rs 25,000",No experience required,No specific education required
Active 8 days ago·,IT Assistant,HRSG Outsourcing Pvt Limited,https://pk.indeed.com/cmp/Hrsg-Outsourcing?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6otkaj6dv80k&fromjk=7d5973124ba554d7,Islamabad,"Full-time
Contract","Rs 125,000 a month",Mid level,No specific education required
Active 2 days ago·,Mechanical Draftsman( Senior),Bridge Engineering Company,https://pk.indeed.com/cmp/Yusal-HR-Consultancy?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6p2j5jrji800&fromjk=579e8de36d9f0fc4,Gujranwala,Full-time,"Rs 60,000",Senior Level,No specific education required
Active 2 days ago·,Electrical Engineer (Internship),Smart Placement (Pvt) Ltd,https://pk.indeed.com/cmp/Smart-Placement-7?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6p7g1jrin800&fromjk=42de49e3430668ac,Islamabad,Full-time,,No experience required,No specific education required
Posted 1 day ago·,Hydrogeologist,Barrick Gold Corporation,https://pk.indeed.com/cmp/Barrick-Gold-Corporation?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6pfc7jtt0801&fromjk=c921bc7b23a2f641,Balochistan,Full-time,,Entry level,No specific education required
Today·,Autocad Draftsman,Essa Engineering Industries Pvt ltd,https://pk.indeed.com/cmp/Essa-Engineering-Industries-Pvt-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6pnahjrgh800&fromjk=75a4afe23ccb8c1f,Karachi,Full-time,"Rs 30,000",No experience required,No specific education required
Active 2 days ago·,Store/Warehouse Officer,Bridge Engineering Company,https://pk.indeed.com/cmp/Yusal-HR-Consultancy?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6pt7kjtul800&fromjk=93753e4e593d74b7,Gujranwala,Full-time,"Rs 40,000 a month",Senior Level,No specific education required
Posted 1 day ago·,Mechanical Engineers,KMNR Engineering (Pvt.) Ltd,https://pk.indeed.com/cmp/Smith-Andersen-2?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6q1472fec002&fromjk=985cf20e81991c4e,Karachi,Full-time,,No experience required,No specific education required
Posted 1 day ago·,QA Intern,Cogent Labs,https://pk.indeed.com/cmp/Cogent-Labs?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6q9252fec000&fromjk=f0d97313f9a849cd,Lahore,Full-time,"Rs 20,000",No experience required,No specific education required
